symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"WATER","25LuR4oi8rtYWsRptYoFrVnHHAwLXciWk4XM8xm7pump","66","0.395061727","","","","","","","0","0","0","910","0.395061727","0","1","1","0","8366.1","3","2216.5","2216.5","0.579","0.579","271","","0","0","1","0","","","","","","","0.000008365","0.000008366","","","","","","2026-07-11T14:41:16.537Z","2026-07-11T14:42:33.831Z","","","","",""
"RABBIDONG","DBvfo8D51B7dKEj3zLRa7kSucU5MwFns5gpgVbwPpump","70","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002496","","","","","","0.000002198","2026-07-11T14:41:52.820Z","","","","","2026-07-11T14:42:39.816Z",""
"LoneWolf","5RksNvvfXp65v7bG9csULqTJUgRv8V8V9oWadSNjpump","64","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003286","","","","","","","2026-07-11T14:41:53.235Z","","","","","",""
"20 SOL","GFJcX2dqnC22soYg8ybQA4n9y9wW8s3kayMdizgkpump","93","0.296296295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000392","","","","","","","2026-07-11T14:41:58.467Z","","","","","",""
"at","99n77H31iJzY2DvCZJwp36bkGKVsKbFnP8NM3F2Upump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.142e-7","","","","","","2026-07-11T14:42:04.523Z",""
"Buttcoin","8oMkBftaQ58XZ3z3LdCY6n6xDEw49tZAv8fnyzrJpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.97e-7","","","","","","2026-07-11T14:42:22.839Z",""
"Fairs ","HQdDdYcK2FJ2PvceaUS2pLMPQVmma4LebyUHoV7cpump","66","0.079012344","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000006245","","","","","","0.000001303","2026-07-11T14:42:28.517Z","","","","","2026-07-11T14:43:03.877Z",""
"Chad","G4T1Nkyi9CcXGHnmKeTfCSsAWc469FzK4K2dDZYppump","72","0.050084894","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002651","","","","","","","2026-07-11T14:42:34.428Z","","","","","",""
"Ansbull","3wggy3UdgSJj5qCTjwr8ZsEwWXEzMFzg1bUQsRtApump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.531e-7","","","","","","2026-07-11T14:42:58.446Z",""
"HALTED","4uqPJYq9ScMFsCuxsKmxUzHjgCrRhwsb8CChJH5Rpump","66","5.432098763","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003178","","","","","","","2026-07-11T14:43:04.585Z","","","","","",""
