symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,drag_at_ready,upside_from_ready,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"JIMBERLY","AwJAJtcaGELQwS14JDYfFqU32isTj4HrCUFMnZSmpump","67","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002176","","","","","","","2026-07-21T17:32:08.194Z","","","","","",""
"JIMBERLY","ewove3i5j6MaVxkUELeqqKTGSPo8TCQA89hJEdLpump","63","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002176","","","","","","","2026-07-21T17:32:14.105Z","","","","","",""
"c","3C34Vzy4QR5ztv9DLdvaPrgArF6jtkbNRvFtRmGHpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001245","","","","","","2026-07-21T17:32:44.018Z",""
"$ITSHE","FhUzdS72cNqrSmDm9G1V4NPfydpcKKZ3F1gMoumUpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.381e-7","","","","","","2026-07-21T17:32:50.000Z",""
"$BUTT","He3HHBHsouXnQs5JwC5a5YPxVLgaHjBJm6jmjjhTpump","68","0.250000001","","18.08","","","","","0","0","-55.4","-55.4","0","902","0.250000001","0","0","1","0","0","4082.02","3","263.87","263.87","0.553","0.553","84.48","","0","0","1","0","0","-55.43851053405194","","","","","","0.000004082","0.000004082","","","0.000001819","","","2026-07-21T17:32:56.036Z","2026-07-21T17:33:55.915Z","","","2026-07-21T17:34:13.995Z","",""
"Mosquito","9AHgsQpDnC4HfvH1PBSaQNxsn1E8StKXtn8GTQUhpump","57","1.97530864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000023","","","","","","","2026-07-21T17:32:56.071Z","","","","","",""
"BOB","FJmxGRsJwEg6ngYcRcvJgqSH3Dz9wCbcsyd1e5EEpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.473e-7","","","","","","2026-07-21T17:33:01.963Z",""
"traincat","9w6YRtEcvLmBcRYhAqWpJp2bAy5YbFa9zFU7xK5Zpump","78","8.7","auto","","77.328","","","","100.5","426","-75","50.5","33.2","906","8.7","0","0","0","0","0","13141.13","3","34007.31","34007.31","0.601","0.601","263","","0","0","1","0","1","","","","","","","0.00001258","0.00001314","0.00001978","","","","","2026-07-21T17:33:08.015Z","2026-07-21T17:35:02.037Z","2026-07-21T17:36:19.365Z","","","",""
"c","2c35ujPvUqn6jb81KmqbCxzkUBgA5aUFP3AJ7tjspump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.588e-7","","","","","","2026-07-21T17:33:13.969Z",""
"BAF","J4o1fYn31imQUig2y7H81RCnZ8t8yWKjwGw8bsebpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.95e-8","","","","","","2026-07-21T17:33:38.045Z",""
