symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"LILY LU","HscM15ag7mTdXEjqagkdsMsCEau1mQofbEGkiKaspump","71","2.999999999","","","","","","","","","","","","","0.000002412","","","","","","","2026-07-04T17:26:39.584Z","","","","","",""
"shortlet","A47bWXvZaLZbfk5PBoRwCxKU6ED5qcjmBxSdQy5Jpump","71","2.999999999","","","","","","","","","","","","","0.000002301","","","","","","","2026-07-04T17:27:15.578Z","","","","","",""
"OFFSIDE","EzpFBMYYihn6sBSUiTeAg94kjhT5s8piNapFqpiqpump","73","3.5","","","","","","","","","","","","","0.000002305","","","","","","","2026-07-04T17:27:45.673Z","","","","","",""
"posture check","zhWd6AvJ84qvfMhAucycHqm9PFWmKUDrvvqw8iEpump","71","2.962962961","","","","","","","","","","","","","0.000002739","","","","0.0000023","","","2026-07-04T17:29:03.645Z","","","","2026-07-04T17:29:38.991Z","",""
"Kanzi","HF172ksgry2MVoGtvwdd4EDnB6HwAVrTH2krfjVzpump","71","2.999999999","","","","","","","","","","","","","0.000006737","","","","0.000002455","","","2026-07-04T17:29:09.578Z","","","","2026-07-04T17:29:44.963Z","",""
"Kanzi","EeugbzSzuQkREuDq3tj52AYrzaa5W3s8Y1AoRLySpump","71","2.962962961","","","","","","","","","","","","","0.000002407","0.000002407","","","","","","2026-07-04T17:29:39.681Z","2026-07-04T17:30:50.763Z","","","","",""
"TRUMP","4DxV9NC6Tb3LZa1PQJTtaqNKaRmCjsSpo8xoSjJgpump","75","3.950617282","","","","","","","","","","","","","0.0000023","","","","0.0000023","","","2026-07-04T17:29:57.605Z","","","","2026-07-04T17:30:20.762Z","",""
"TRUMP","9MGZUJmezN51MuypZxLZPtDMQVnuYY5VJigRcpxzpump","79","5","","","","","","","","","","","","","0.000002301","","","","","","","2026-07-04T17:30:03.679Z","","","","","",""
"JOEY","2ZhmkHWwrdXHcQxx6iMjWv53heizyx3bJxFGQuPzpump","84","7.407407405","","","","","","","","","","","","","0.000002366","","","","","","","2026-07-04T17:30:09.611Z","","","","","",""
"JOEY","u7ZN9fpddoeTp5tsFCcXK3nkv52RgqwoDCVH191pump","81","7.407407405","","","","","","","","","","","","","0.000002408","","","","0.000002408","","","2026-07-04T17:30:28.040Z","","","","2026-07-04T17:31:02.960Z","",""
